x1,y1,z1,theta1,x2,y2,z2,theta2,x3,y3,z3,theta3,x4,y4,z4,theta4,x5,y5,z5,theta5
121.200000,104.969452,0.000000,48.309827,278.800000,88.531031,50.000000,-35.974334,121.200000,64.549185,100.000000,-26.921001,278.800000,47.640948,150.000000,-26.176716,121.200000,19.264124,200.000000,-6.369428
121.600000,105.418557,0.000000,48.366305,278.400000,88.240687,50.000000,-36.055740,121.600000,64.346069,100.000000,-26.835267,278.400000,47.444326,150.000000,-25.947522,121.600000,19.219473,200.000000,-5.991806
122.000000,105.868554,0.000000,48.411069,278.000000,87.949475,50.000000,-36.131857,122.000000,64.143705,100.000000,-26.742878,278.000000,47.249686,150.000000,-25.713859,122.000000,19.177489,200.000000,-5.613019
122.400000,106.319261,0.000000,48.444185,277.600000,87.657450,50.000000,-36.202711,122.400000,63.942151,100.000000,-26.643806,277.600000,47.057060,150.000000,-25.475723,122.400000,19.138177,200.000000,-5.233189
122.800000,106.770492,0.000000,48.465710,277.200000,87.364665,50.000000,-36.268327,122.800000,63.741463,100.000000,-26.538024,277.200000,46.866477,150.000000,-25.233112,122.800000,19.101540,200.000000,-4.852440
123.200000,107.222065,0.000000,48.475689,276.800000,87.071176,50.000000,-36.328730,123.200000,63.541699,100.000000,-26.425501,276.800000,46.677969,150.000000,-24.986026,123.200000,19.067583,200.000000,-4.470897
123.600000,107.673796,0.000000,48.474154,276.400000,86.777038,50.000000,-36.383942,123.600000,63.342916,100.000000,-26.306208,276.400000,46.491565,150.000000,-24.734465,123.600000,19.036307,200.000000,-4.088686
124.000000,108.125503,0.000000,48.461129,276.000000,86.482305,50.000000,-36.433986,124.000000,63.145169,100.000000,-26.180118,276.000000,46.307294,150.000000,-24.478429,124.000000,19.007714,200.000000,-3.705933
124.400000,108.577003,0.000000,48.436625,275.600000,86.187034,50.000000,-36.478882,124.400000,62.948517,100.000000,-26.047199,275.600000,46.125185,150.000000,-24.217922,124.400000,18.981805,200.000000,-3.322765
124.800000,109.028115,0.000000,48.400642,275.200000,85.891277,50.000000,-36.518651,124.800000,62.753016,100.000000,-25.907423,275.200000,45.945268,150.000000,-23.952945,124.800000,18.958582,200.000000,-2.939309
125.200000,109.478656,0.000000,48.353172,274.800000,85.595091,50.000000,-36.553311,125.200000,62.558723,100.000000,-25.760760,274.800000,45.767570,150.000000,-23.683504,125.200000,18.938044,200.000000,-2.555691
125.600000,109.928445,0.000000,48.294193,274.400000,85.298530,50.000000,-36.582880,125.600000,62.365693,100.000000,-25.607180,274.400000,45.592119,150.000000,-23.409605,125.600000,18.920190,200.000000,-2.172040
126.000000,110.377304,0.000000,48.223674,274.000000,85.001650,50.000000,-36.607374,126.000000,62.173983,100.000000,-25.446655,274.000000,45.418944,150.000000,-23.131255,126.000000,18.905019,200.000000,-1.788484
126.400000,110.825052,0.000000,48.141572,273.600000,84.704504,50.000000,-36.626810,126.400000,61.983650,100.000000,-25.279154,273.600000,45.248072,150.000000,-22.848462,126.400000,18.892529,200.000000,-1.405148
126.800000,111.271510,0.000000,48.047835,273.200000,84.407147,50.000000,-36.641201,126.800000,61.794749,100.000000,-25.104648,273.200000,45.079529,150.000000,-22.561236,126.800000,18.882717,200.000000,-1.022161
